,Sample_Name,Sample_Plate_ID,Sample_Taxa,Species,Individual,Plant_ID,Primer_Plate,Primer_Plate_cell,Year_sampled,Year_arrived,Age,Location,X_cor,Y_cor,Date_collected,Time_collected,Status,L_0_note,L_120_note,L_240_note,L_0_use,L_120_use,L_240_use,L_average_use,pH,tare,soil_0,soil_72,theta_d_72,theta_w_72,Individual.New
Lupine_54_2016,2016B3_1_L_54_0,2016_Bacteria_3,Bacteria,Lupine,Lupine_54,2016_L_54,Plate_7,A1,2016,2007,9,BMR,-123.069379,38.319351,11-Jul,14:04,Dying,Am,Ice,Am,0.8,10,1.4,4.066666667,8.64,2.27,17.275,17.233,0.002806924,0.002799067,Lupine_54_2016
Lupine_56_2016,2016B5_53_L_56_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_56,2016_L_56,Plate_9,E7,2016,2013,5,BMR,-123.070546,38.320681,11-Jul,16:25,Alive,Am_Br,Am_Br,Am,0.9,0,1.5,0.8,8.4,2.225,17.224,17.167,0.00381475,0.003800253,Lupine_56_2016
Lupine_58_2016,2016B4_32_L_58_0,2016_Bacteria_4,Bacteria,Lupine,Lupine_58,2016_L_58,Plate_8,H4,2016,2009,7,BMR,-123.070083,38.320486,11-Jul,15:30,Dead,Am,Br,NA,1.5,1,1.7,1.4,7.13,2.339,17.337,17.286,0.003412056,0.003400453,Lupine_58_2016
Lupine_59_2016,2016B2_14_L_59_120,2016_Bacteria_2,Bacteria,Lupine,Lupine_59,2016_L_59,Plate_6,F2,2016,2012,4,BMR,-123.069342,38.319865,28-Jun,16:17,Dying,Am,Am,NA,0,0.5,0,0.166666667,8.01,2.268,17.26,17.157,0.006917859,0.006870331,Lupine_59_2016
Lupine_61_2016,2016B3_52_L_61,2016_Bacteria_3,Bacteria,Lupine,Lupine_61,2016_L_61,Plate_7,D7,2016,2016,0.5,BMR,-123.0695,38.320117,29-Jun,NA,Baby,NA,NA,NA,0,0,0,0,8.6,2.12,17.116,16.858,0.017505767,0.017204588,Lupine_61_2016
Lupine_62_2016,2016B3_12_L_62,2016_Bacteria_3,Bacteria,Lupine,Lupine_62,2016_L_62,Plate_7,D2,2016,2016,0.5,Sonoma,-123.06765,38.321717,30-Jun,NA,Baby,NA,NA,NA,0,0,0,0,8.73,2.21,17.221,17.009,0.014325292,0.014122976,Lupine_62_2016
Lupine_63_2016,2016B3_20_L_63,2016_Bacteria_3,Bacteria,Lupine,Lupine_63,2016_L_63,Plate_7,D3,2016,2016,0.5,Sonoma,-123.0685,38.321417,1-Jul,NA,Baby,NA,NA,NA,0,0,0,0,8.9,2.125,17.126,16.973,0.010304418,0.01019932,Lupine_63_2016
Lupine_7_2016,2016B1_18_L_7_240,2016_Bacteria_1,Bacteria,Lupine,Lupine_7,2016_L_7,Plate_5,B3,2016,2010,6,BMR,-123.070406,38.320318,29-Jun,9:52,Dead,Am,Am,Am,1.5,1.3,1.7,1.5,7.71,2.291,17.286,17.068,0.014752656,0.014538179,Lupine_7_2016
Lupine_8_2016,2016B2_31_L_8_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_8,2016_L_8,Plate_6,G4,2016,2013,3,BMR,-123.069935,38.320289,11-Jul,15:25,Alive,Am,NA,Am,0.7,1.7,1.1,1.166666667,8.24,2.346,17.347,17.269,0.005226831,0.005199653,Lupine_8_2016
Lupine_9_2016,2016B3_78_L_9_0,2016_Bacteria_3,Bacteria,Lupine,Lupine_9,2016_L_9,Plate_7,F10,2016,2004,12,BMR,-123.070581,38.320458,11-Jul,16:03,Dying,Am,Am_Br,Am,0,0,0,0,7.24,2.306,17.306,17.239,0.004486707,0.004466667,Lupine_9_2016
